PO Number (if  first tier vendor) or ICA-DOU (if IBM entity or IBM Subsidiary)|Procurement Vendor ID (Mandatory for 1° Tier Vendor)|Supplier Name|Country|VAT Number|PO Number (if  first tier vendor) or ICA-DOU (if IBM entity or IBM Subsidiary)|Is the PO GDPR Relevant?|Is there further sub-contracting to second or third tier vendors? If so please provide the full names and full address of 2nd or 3rd tier vendors|Briefly describe the type of services/data processing activity performed by the Vendor|In what category is the Vendor s Service Description ? (using the categories in GSAR (Global Solution Architecture Repository))|PO Status|Start Date|End Date|Business Unit that provide the services through this vendor (free text )|Requester/Approver Name|Please identify the Customer(s) or Account(s) under the PO|NOTE|FP - T&M|Full Supplier Address
5004824907|1000353524|VITAL NETWORK SERVICES INC|UNITED STATES|Not Applicable|5004824907|Yes|N/A|NETWORK SERVICES|NA as not GDPR Relevent|Open|2/16/2016|12/31/2018|GTS IS|Ken Trainor|MILLERCOORS LLC|US|FP|PO Box 1170620FL30368-0001ATLANTA
5004999527|1000353524|VITAL NETWORK SERVICES INC|UNITED STATES|Not Applicable|5004999527|Yes|N/A|NETWORK SERVICES|NA as not GDPR Relevent|Open|9/1/2016|12/31/2018|GTS IS|Ken Trainor|MILLERCOORS LLC|US|FP|PO Box 1170620FL30368-0001ATLANTA
5004999531|1000353524|VITAL NETWORK SERVICES INC|UNITED STATES|Not Applicable|5004999531|Yes|N/A|NETWORK SERVICES|NA as not GDPR Relevent|Open|9/1/2016|12/31/2018|GTS IS|Ken Trainor|MILLERCOORS LLC|US|FP|PO Box 1170620FL30368-0001ATLANTA
5005122739|1000353524|VITAL NETWORK SERVICES INC|UNITED STATES|Not Applicable|5005122739|Yes|N/A|NETWORK SERVICES|NA as not GDPR Relevent|Open|10/1/2017|12/31/2018|GTS IS|Ken Trainor|MILLERCOORS LLC|US|FP|PO Box 1170620FL30368-0001ATLANTA
5005113205|1000277991|SYMANTEC CORPORATION|CANADA|Not Applicable|5005113205|Yes|N/A|TECH SVS|NA as not GDPR Relevent|Open|10/9/2015|10/31/2016|GTS IS|NA|MMS GTS COST POOL|US|FP|555 INTERNATIONAL WAYOR97477-1098SPRINGFIELD
5004798514|1000438809|BRILLIO LLC|UNITED STATES|Not Applicable|5004798514|Yes|N/A|L2 DATASTAGE ADMIN TO SUPPORT IBM DATASTATE ETL STOOL FOR CONSTRUCTING DATA INTEGRATING SOLUTIONS|NA as not GDPR Relevent|Open|11/21/2015|3/31/2020|GTS IS|Paula Wilson|MO/WAL-MART G O|US|FP|100 TOWN SQUARE PLACE SUITE 308NJ07310-2778JERSEY CITY
5004960383|1000438809|BRILLIO LLC|UNITED STATES|Not Applicable|5004960383|Yes|N/A|WEBSPHERE APPLICATION SERVICES|NA as not GDPR Relevent|Open|11/21/2016|6/19/2019|GTS IS|Paula Wilson|MO/WAL-MART G O|US|FP|100 TOWN SQUARE PLACE SUITE 308NJ07310-2778JERSEY CITY
5005026256|1000438809|BRILLIO LLC|UNITED STATES|Not Applicable|5005026256|Yes|N/A|TERADATA SERVICES|NA as not GDPR Relevent|Open|5/26/2017|1/31/2018|GTS IS|Paula Wilson|MO/WAL-MART G O|US|FP|100 TOWN SQUARE PLACE SUITE 308NJ07310-2778JERSEY CITY
5004870138|1000093367|COLLABERA INC|UNITED STATES|Not Applicable|5004870138|Yes|N/A|TECHNICAL PROGRAM MANAGER|NA as not GDPR Relevent|Open|5/21/2016|5/21/2018|GTS IS|Paula Wilson|MO/WAL-MART G O|US|FP|25 AIRPORT ROADNJ07960-4624MORRISTOWN
5004958426|1000089643|COMPUTER TASK GROUP INC|UNITED STATES|Not Applicable|5004958426|Yes|N/A|SITUATION MANAGER - FIRST ESCALATION POINT FOR CUSTOMER ISSUES|NA as not GDPR Relevent|Open|12/31/2016|5/28/2018|GTS IS|Paula Wilson|MO/WAL-MART G O|US|FP|800 DELAWARE AVENY14209-2094BUFFALO
